计数,名称,面积,全局宽度,长度,差值 X,差值 Y,差值 Z,端点 X,端点 Y,端点 Z,角度,起点 X,起点 Y,起点 Z
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,9870.0000,0.0000,0,14200.0000,9870.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,10000.0000,0.0000,0,16300.0000,10000.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,9930.0000,0.0000,0,14200.0000,9930.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,10000.0000,0.0000,0,14200.0000,10000.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,9800.0000,0.0000,0,14200.0000,9800.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,9800.0000,0.0000,0,16300.0000,9800.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,1900.0000,0.0000,0.0000,0,700.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,1900.0000,130.0000,0.0000,0,700.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,1900.0000,200.0000,0.0000,0,700.0000,200.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,9930.0000,0.0000,0,16300.0000,9930.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,9870.0000,0.0000,0,16300.0000,9870.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,13000.0000,9870.0000,0.0000,0,11800.0000,9870.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,8500.0000,9870.0000,0.0000,0,7300.0000,9870.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10900.0000,10000.0000,0.0000,0,9700.0000,10000.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,8500.0000,9930.0000,0.0000,0,7300.0000,9930.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,8500.0000,10000.0000,0.0000,0,7300.0000,10000.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,8500.0000,9800.0000,0.0000,0,7300.0000,9800.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10900.0000,9800.0000,0.0000,0,9700.0000,9800.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,13000.0000,9800.0000,0.0000,0,11800.0000,9800.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,13000.0000,9930.0000,0.0000,0,11800.0000,9930.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,13000.0000,10000.0000,0.0000,0,11800.0000,10000.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10900.0000,9930.0000,0.0000,0,9700.0000,9930.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10900.0000,9870.0000,0.0000,0,9700.0000,9870.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,1900.0000,70.0000,0.0000,0,700.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10900.0000,70.0000,0.0000,0,9700.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,13000.0000,200.0000,0.0000,0,11800.0000,200.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10900.0000,130.0000,0.0000,0,9700.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10900.0000,200.0000,0.0000,0,9700.0000,200.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10900.0000,0.0000,0.0000,0,9700.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,13000.0000,0.0000,0.0000,0,11800.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,0.0000,0.0000,0,14200.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,130.0000,0.0000,0,14200.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,200.0000,0.0000,0,14200.0000,200.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,13000.0000,130.0000,0.0000,0,11800.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,13000.0000,70.0000,0.0000,0,11800.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,8500.0000,70.0000,0.0000,0,7300.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,4000.0000,70.0000,0.0000,0,2800.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,6400.0000,200.0000,0.0000,0,5200.0000,200.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,4000.0000,130.0000,0.0000,0,2800.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,4000.0000,200.0000,0.0000,0,2800.0000,200.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,4000.0000,0.0000,0.0000,0,2800.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,6400.0000,0.0000,0.0000,0,5200.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,8500.0000,0.0000,0.0000,0,7300.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,8500.0000,130.0000,0.0000,0,7300.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,8500.0000,200.0000,0.0000,0,7300.0000,200.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,6400.0000,130.0000,0.0000,0,5200.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,6400.0000,70.0000,0.0000,0,5200.0000,70.0000,0.0000
1,直线,,,300.0000,212.1320,-212.1320,0.0000,12696.2688,4777.1854,0.0000,315,12484.1367,4989.3174,0.0000
1,直线,,,300.0000,212.1320,212.1320,0.0000,12908.4008,4989.3174,0.0000,45,12696.2688,4777.1854,0.0000
1,直线,,,200.0000,200.0000,0.0000,0.0000,7201.0542,6300.0000,0.0000,0,7001.0542,6300.0000,0.0000
1,直线,,,3015.0996,0.0000,-3015.0996,0.0000,24100.0000,-900.0000,0.0000,270,24100.0000,2115.0996,0.0000
1,直线,,,200.0000,200.0000,0.0000,0.0000,7201.0542,5300.0000,0.0000,0,7001.0542,5300.0000,0.0000
1,直线,,,424.2641,424.2641,0.0000,0.0000,12908.4008,4989.3174,0.0000,0,12484.1367,4989.3174,0.0000
1,直线,,,424.2641,424.2641,0.0000,0.0000,24098.8892,6522.5317,0.0000,0,23674.6251,6522.5317,0.0000
1,直线,,,849.5877,849.5877,0.0000,0.0000,24948.4769,6522.5317,0.0000,0,24098.8892,6522.5317,0.0000
1,直线,,,300.0000,212.1320,212.1320,0.0000,24098.8892,6522.5317,0.0000,45,23886.7572,6310.3997,0.0000
1,直线,,,849.5877,849.5877,0.0000,0.0000,13757.9885,4989.3174,0.0000,0,12908.4008,4989.3174,0.0000
1,直线,,,300.0000,212.1320,-212.1320,0.0000,23886.7572,6310.3997,0.0000,315,23674.6251,6522.5317,0.0000
1,直线,,,3480.9870,0.0000,3480.9870,0.0000,-900.0000,10900.0000,0.0000,90,-900.0000,7419.0130,0.0000
1,直线,,,400.0000,-400.0000,0.0000,0.0000,-1300.0000,4134.1127,0.0000,180,-900.0000,4134.1127,0.0000
1,直线,,,400.0000,400.0000,0.0000,0.0000,-900.0000,7419.0130,0.0000,0,-1300.0000,7419.0130,0.0000
1,直线,,,3284.9004,0.0000,3284.9004,0.0000,-1300.0000,7419.0130,0.0000,90,-1300.0000,4134.1127,0.0000
1,直线,,,2484.9004,0.0000,2484.9004,0.0000,-900.0000,7019.0130,0.0000,90,-900.0000,4534.1127,0.0000
1,直线,,,2884.9004,0.0000,2884.9004,0.0000,-1100.0000,7219.0130,0.0000,90,-1100.0000,4334.1127,0.0000
1,直线,,,200.0000,-200.0000,0.0000,0.0000,-1100.0000,7219.0130,0.0000,180,-900.0000,7219.0130,0.0000
1,直线,,,25000.0000,-25000.0000,0.0000,0.0000,-900.0000,-900.0000,0.0000,180,24100.0000,-900.0000,0.0000
1,直线,,,5034.1127,0.0000,5034.1127,0.0000,-900.0000,4134.1127,0.0000,90,-900.0000,-900.0000,0.0000
1,直线,,,5500.0000,0.0000,-5500.0000,0.0000,24100.0000,5400.0000,0.0000,270,24100.0000,10900.0000,0.0000
1,直线,,,200.0000,-200.0000,0.0000,0.0000,-1100.0000,4334.1127,0.0000,180,-900.0000,4334.1127,0.0000
1,直线,,,25000.0000,25000.0000,0.0000,0.0000,24100.0000,10900.0000,0.0000,0,-900.0000,10900.0000,0.0000
1,直线,,,300.0000,212.1320,-212.1320,0.0000,24010.6321,2752.4967,0.0000,315,23798.5000,2964.6287,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,4000.0000,10000.0000,0.0000,0,2800.0000,10000.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,4000.0000,9800.0000,0.0000,0,2800.0000,9800.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,1900.0000,9870.0000,0.0000,0,700.0000,9870.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,1900.0000,9800.0000,0.0000,0,700.0000,9800.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,1900.0000,9930.0000,0.0000,0,700.0000,9930.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,4000.0000,9930.0000,0.0000,0,2800.0000,9930.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,6400.0000,9930.0000,0.0000,0,5200.0000,9930.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,6400.0000,9870.0000,0.0000,0,5200.0000,9870.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,6400.0000,9800.0000,0.0000,0,5200.0000,9800.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,4000.0000,9870.0000,0.0000,0,2800.0000,9870.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,6400.0000,10000.0000,0.0000,0,5200.0000,10000.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,1900.0000,10000.0000,0.0000,0,700.0000,10000.0000,0.0000
1,直线,,,300.0000,212.1320,-212.1320,0.0000,-197.6235,4737.4062,0.0000,315,-409.7555,4949.5383,0.0000
1,直线,,,300.0000,212.1320,212.1320,0.0000,14.5085,4949.5383,0.0000,45,-197.6235,4737.4062,0.0000
1,直线,,,849.5877,849.5877,0.0000,0.0000,25072.3518,2964.6287,0.0000,0,24222.7641,2964.6287,0.0000
1,直线,,,300.0000,212.1320,212.1320,0.0000,24222.7641,2964.6287,0.0000,45,24010.6321,2752.4967,0.0000
1,直线,,,424.2641,424.2641,0.0000,0.0000,24222.7641,2964.6287,0.0000,0,23798.5000,2964.6287,0.0000
1,直线,,,1281.6551,1281.6551,0.0000,0.0000,14.5085,4949.5383,0.0000,0,-1267.1466,4949.5383,0.0000
1,直线,,,1281.6551,1281.6551,0.0000,0.0000,-1087.0861,8272.6035,0.0000,0,-2368.7412,8272.6035,0.0000
1,直线,,,0.0000,0.0000,0.0000,0.0000,-1087.0861,8272.6035,0.0000,0,-1087.0861,8272.6035,0.0000
1,直线,,,300.0000,212.1320,212.1320,0.0000,-1087.0861,8272.6035,0.0000,45,-1299.2181,8060.4715,0.0000
1,直线,,,0.0000,0.0000,0.0000,0.0000,14.5085,4949.5383,0.0000,0,14.5085,4949.5383,0.0000
1,直线,,,300.0000,212.1320,-212.1320,0.0000,-1299.2181,8060.4715,0.0000,315,-1511.3501,8272.6035,0.0000
1,直线,,,1682.6989,0.0000,1682.6989,0.0000,101.0542,14921.4537,0.0000,90,101.0542,13238.7547,0.0000
1,直线,,,1682.6989,0.0000,1682.6989,0.0000,4601.0542,14921.4537,0.0000,90,4601.0542,13238.7547,0.0000
1,直线,,,1565.7027,0.0000,-1565.7027,0.0000,23101.0542,-5008.8509,0.0000,270,23101.0542,-3443.1482,0.0000
1,直线,,,1565.7027,0.0000,-1565.7027,0.0000,13601.0542,-5008.8509,0.0000,270,13601.0542,-3443.1482,0.0000
1,直线,,,1565.7027,0.0000,-1565.7027,0.0000,18101.0542,-5008.8509,0.0000,270,18101.0542,-3443.1482,0.0000
1,直线,,,1682.6989,0.0000,1682.6989,0.0000,9101.0542,14921.4537,0.0000,90,9101.0542,13238.7547,0.0000
1,直线,,,1877.2167,1877.2167,0.0000,0.0000,28991.0871,100.0000,0.0000,0,27113.8705,100.0000,0.0000
1,直线,,,1877.2167,1877.2167,0.0000,0.0000,28005.7230,5000.0000,0.0000,0,26128.5063,5000.0000,0.0000
1,直线,,,1682.6989,0.0000,1682.6989,0.0000,23101.0542,14921.4537,0.0000,90,23101.0542,13238.7547,0.0000
1,直线,,,1682.6989,0.0000,1682.6989,0.0000,13601.0542,14921.4537,0.0000,90,13601.0542,13238.7547,0.0000
1,直线,,,1682.6989,0.0000,1682.6989,0.0000,18101.0542,14921.4537,0.0000,90,18101.0542,13238.7547,0.0000
1,直线,,,1565.7027,0.0000,-1565.7027,0.0000,9101.0542,-5008.8509,0.0000,270,9101.0542,-3443.1482,0.0000
1,直线,,,1275.0000,0.0000,-1275.0000,0.0000,18301.0542,200.0000,0.0000,270,18301.0542,1475.0000,0.0000
1,直线,,,2928.5376,2928.5376,0.0000,0.0000,23000.0000,2800.0000,0.0000,0,20071.4624,2800.0000,0.0000
1,直线,,,618.5842,-233.7611,-572.7147,0.0000,19530.6461,1475.0000,0.0000,248,19764.4072,2047.7147,0.0000
1,直线,,,151.9980,141.4184,55.7156,0.0000,19905.8256,2103.4303,0.0000,22,19764.4072,2047.7147,0.0000
1,直线,,,540.4088,0.0000,540.4088,0.0000,19801.0542,2750.0000,0.0000,90,19801.0542,2209.5912,0.0000
1,直线,,,1886.8274,-1886.8274,0.0000,0.0000,-5327.9349,10000.0000,0.0000,180,-3441.1075,10000.0000,0.0000
1,直线,,,1565.7027,0.0000,-1565.7027,0.0000,101.0542,-5008.8509,0.0000,270,101.0542,-3443.1482,0.0000
1,直线,,,1565.7027,0.0000,-1565.7027,0.0000,4601.0542,-5008.8509,0.0000,270,4601.0542,-3443.1482,0.0000
1,直线,,,2640.1216,-2640.1216,0.0000,0.0000,-5327.5549,100.0000,0.0000,180,-2687.4333,100.0000,0.0000
1,直线,,,1886.8274,-1886.8274,0.0000,0.0000,-5327.9349,6900.0000,0.0000,180,-3441.1075,6900.0000,0.0000
1,直线,,,2640.1216,-2640.1216,0.0000,0.0000,-5327.9349,5100.0000,0.0000,180,-2687.8133,5100.0000,0.0000
1,直线,,,1877.2167,1877.2167,0.0000,0.0000,28991.0871,5000.0000,0.0000,0,27113.8705,5000.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,18702.1085,9800.0000,0.0000,180,19902.1085,9800.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,18702.1085,9930.0000,0.0000,180,19902.1085,9930.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,18702.1085,10000.0000,0.0000,180,19902.1085,10000.0000,0.0000
1,直线,,,726.6785,0.0000,-726.6785,0.0000,-499.4851,10779.6625,0.0000,270,-499.4851,11506.3410,0.0000
1,直线,,,1437.2725,0.0000,1437.2725,0.0000,-370.2198,4534.1127,0.0000,90,-370.2198,3096.8401,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,18702.1085,9870.0000,0.0000,180,19902.1085,9870.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,20802.1085,9870.0000,0.0000,180,22002.1085,9870.0000,0.0000
1,直线,,,500.0000,500.0000,0.0000,0.0000,23200.0000,5300.0000,0.0000,0,22700.0000,5300.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,20802.1085,9930.0000,0.0000,180,22002.1085,9930.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,20802.1085,10000.0000,0.0000,180,22002.1085,10000.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,20802.1085,9800.0000,0.0000,180,22002.1085,9800.0000,0.0000
1,直线,,,2242.7832,2242.7832,0.0000,0.0000,-370.2198,3096.8401,0.0000,0,-2613.0030,3096.8401,0.0000
1,直线,,,195.8002,195.8002,0.0000,0.0000,19551.0542,2142.0818,0.0000,0,19355.2540,2142.0818,0.0000
1,直线,,,30.0000,0.0000,-30.0000,0.0000,19355.2540,2112.0818,0.0000,270,19355.2540,2142.0818,0.0000
1,多段线,0.0000,0.0000,30.0000,,,,,,,,,,
1,直线,,,1877.2167,1877.2167,0.0000,0.0000,28991.0871,9900.0000,0.0000,0,27113.8705,9900.0000,0.0000
1,直线,,,1420.4531,1420.4531,0.0000,0.0000,19355.2540,2142.0818,0.0000,0,17934.8010,2142.0818,0.0000
1,直线,,,198.0852,195.8002,-30.0000,0.0000,19551.0542,2142.0818,0.0000,351,19355.2540,2172.0818,0.0000
1,直线,,,3983.5407,0.0000,-3983.5407,0.0000,19946.2516,7641.5785,0.0000,270,19946.2516,11625.1193,0.0000
1,直线,,,3105.6404,3105.6404,0.0000,0.0000,-499.4851,11506.3410,0.0000,0,-3605.1256,11506.3410,0.0000
1,直线,,,3053.1991,3053.1991,0.0000,0.0000,22999.4506,11625.1193,0.0000,0,19946.2516,11625.1193,0.0000
1,直线,,,198.0852,-195.8002,-30.0000,0.0000,19355.2540,2112.0818,0.0000,189,19551.0542,2142.0818,0.0000
1,直线,,,3431.6750,3431.6750,0.0000,0.0000,18551.0542,2480.8803,0.0000,0,15119.3793,2480.8803,0.0000
1,直线,,,1000.0000,0.0000,1000.0000,0.0000,2301.0542,5100.0000,0.0000,90,2301.0542,4100.0000,0.0000
1,直线,,,1000.0000,1000.0000,0.0000,0.0000,5101.0542,5300.0000,0.0000,0,4101.0542,5300.0000,0.0000
1,直线,,,1000.0000,0.0000,1000.0000,0.0000,1901.0542,5100.0000,0.0000,90,1901.0542,4100.0000,0.0000
1,直线,,,750.0000,-750.0000,0.0000,0.0000,-750.0000,6750.0000,0.0000,180,0.0000,6750.0000,0.0000
1,直线,,,750.0000,-750.0000,0.0000,0.0000,-750.0000,5250.0000,0.0000,180,0.0000,5250.0000,0.0000
1,直线,,,1000.0000,-1000.0000,0.0000,0.0000,6101.0542,5300.0000,0.0000,180,7101.0542,5300.0000,0.0000
1,直线,,,1000.0000,-1000.0000,0.0000,0.0000,8101.0545,1500.0001,0.0000,180,9101.0545,1500.0001,0.0000
1,直线,,,1500.0000,0.0000,1500.0000,0.0000,23101.0542,4550.0000,0.0000,90,23101.0542,3050.0000,0.0000
1,直线,,,800.0000,-800.0000,0.0000,0.0000,8301.0542,9500.0000,0.0000,180,9101.0542,9500.0000,0.0000
1,直线,,,1000.0000,-1000.0000,0.0000,0.0000,6101.0545,5000.0001,0.0000,180,7101.0545,5000.0001,0.0000
1,直线,,,800.0000,0.0000,-800.0000,0.0000,7301.0542,7000.0000,0.0000,270,7301.0542,7800.0000,0.0000
1,直线,,,1000.0000,0.0000,1000.0000,0.0000,2301.0542,7900.0000,0.0000,90,2301.0542,6900.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,130.0000,0.0000,0,16300.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,70.0000,0.0000,0,16300.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,0.0000,0.0000,0,16300.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,70.0000,0.0000,0,14200.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,200.0000,0.0000,0,16300.0000,200.0000,0.0000
1,直线,,,900.0000,900.0000,0.0000,0.0000,19600.0000,200.0000,0.0000,0,18700.0000,200.0000,0.0000
1,直线,,,1500.0000,0.0000,-1500.0000,0.0000,0.0000,5250.0000,0.0000,270,0.0000,6750.0000,0.0000
1,直线,,,1000.0000,0.0000,1000.0000,0.0000,1901.0542,7900.0000,0.0000,90,1901.0542,6900.0000,0.0000
1,直线,,,900.0000,900.0000,0.0000,0.0000,19600.0000,70.0000,0.0000,0,18700.0000,70.0000,0.0000
1,直线,,,900.0000,900.0000,0.0000,0.0000,19600.0000,0.0000,0.0000,0,18700.0000,0.0000,0.0000
1,直线,,,900.0000,900.0000,0.0000,0.0000,19600.0000,130.0000,0.0000,0,18700.0000,130.0000,0.0000
1,直线,,,750.0000,750.0000,0.0000,0.0000,23851.0542,3050.0000,0.0000,0,23101.0542,3050.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,18551.0542,2750.0000,0.0000,90,18551.0542,1525.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,18801.0542,2750.0000,0.0000,90,18801.0542,1525.0000,0.0000
1,直线,,,50.0000,0.0000,-50.0000,0.0000,18243.9851,1475.0000,0.0000,270,18243.9851,1525.0000,0.0000
1,直线,,,1286.6610,1286.6610,0.0000,0.0000,19530.6461,1475.0000,0.0000,0,18243.9851,1475.0000,0.0000
1,直线,,,50.0000,0.0000,-50.0000,0.0000,17616.1349,2750.0000,0.0000,270,17616.1349,2800.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,19051.0542,2750.0000,0.0000,90,19051.0542,1525.0000,0.0000
1,直线,,,224.4924,213.4886,-69.4225,0.0000,19905.8256,2103.4303,0.0000,342,19692.3371,2172.8528,0.0000
1,直线,,,150.7859,142.8501,48.2727,0.0000,19835.1871,2221.1255,0.0000,19,19692.3371,2172.8528,0.0000
1,直线,,,625.2373,-236.2753,-578.8745,0.0000,19835.1871,2221.1255,0.0000,248,20071.4624,2800.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,19301.0542,2750.0000,0.0000,90,19301.0542,1525.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,19551.0542,2750.0000,0.0000,90,19551.0542,1525.0000,0.0000
1,直线,,,1307.0692,1307.0692,0.0000,0.0000,19551.0542,1525.0000,0.0000,0,18243.9851,1525.0000,0.0000
1,直线,,,6936.1375,6936.1375,0.0000,0.0000,14393.8098,-9837.9684,0.0000,0,7457.6723,-9837.9684,0.0000
1,直线,,,6936.1375,6936.1375,0.0000,0.0000,14393.8098,-10037.9684,0.0000,0,7457.6723,-10037.9684,0.0000
1,直线,,,800.0000,0.0000,-800.0000,0.0000,22900.0000,7900.0000,0.0000,270,22900.0000,8700.0000,0.0000
1,直线,,,750.0000,750.0000,0.0000,0.0000,23851.0542,4550.0000,0.0000,0,23101.0542,4550.0000,0.0000
1,直线,,,800.0000,-800.0000,0.0000,0.0000,19401.0542,5200.0000,0.0000,180,20201.0542,5200.0000,0.0000
